Date,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD
2018-05-05,14.36870002746582,9858.150390625,816.1199951171875,177.76199340820312,0.9051030278205872
2018-05-06,13.94260025024414,9654.7998046875,792.3109741210938,171.8000030517578,0.8714240193367004
2018-05-07,13.702500343322754,9373.009765625,753.7249755859375,164.87899780273438,0.8326410055160522
2018-05-08,13.529000282287598,9234.8203125,752.8569946289062,159.61700439453125,0.8139700293540955
2018-05-09,14.660200119018555,9325.1796875,752.2750244140625,157.05499267578125,0.8020430207252502
2018-05-10,13.818400382995605,9043.9404296875,727.2769775390625,149.86900329589844,0.7582370042800903
2018-05-11,12.993900299072266,8441.490234375,679.5859985351562,137.11700439453125,0.6849480271339417
2018-05-12,12.943900108337402,8504.8896484375,686.0479736328125,141.8820037841797,0.6967350244522095
2018-05-13,13.11870002746582,8723.9404296875,733.4959716796875,144.58799743652344,0.745747983455658
2018-05-14,12.870699882507324,8716.7900390625,730.5490112304688,147.71400451660156,0.7408980131149292
2018-05-15,12.56779956817627,8510.3798828125,708.8709716796875,139.8800048828125,0.6985880136489868
2018-05-16,12.260499954223633,8368.830078125,707.0499877929688,139.26800537109375,0.7140809893608093
2018-05-17,12.46500015258789,8094.31982421875,672.656982421875,132.7729949951172,0.6673099994659424
2018-05-18,15.13539981842041,8250.9697265625,694.3670043945312,136.0570068359375,0.6802939772605896
2018-05-19,14.245699882507324,8247.1796875,696.530029296875,135.32000732421875,0.6767129898071289
2018-05-20,14.117799758911133,8513.25,715.3690185546875,139.697998046875,0.7002440094947815
2018-05-21,14.722299575805664,8418.990234375,699.2219848632812,134.50900268554688,0.6815869808197021
2018-05-22,13.92549991607666,8041.77978515625,647.7410278320312,128.67599487304688,0.645566999912262
2018-05-23,12.626199722290039,7557.81982421875,583.5850219726562,119.31400299072266,0.599593997001648
2018-05-24,13.000300407409668,7587.33984375,601.7550048828125,122.61299896240234,0.6319969892501831
2018-05-25,13.008000373840332,7480.14013671875,586.7340087890625,119.44200134277344,0.6110010147094727
2018-05-26,12.759099960327148,7355.8798828125,587.280029296875,118.2770004272461,0.6127079725265503
2018-05-27,12.605799674987793,7368.22021484375,572.6680297851562,117.99199676513672,0.6078810095787048
2018-05-28,11.89430046081543,7135.990234375,516.0360107421875,111.5979995727539,0.5522990226745605
2018-05-29,12.571700096130371,7472.58984375,565.3880004882812,119.56800079345703,0.6012409925460815
2018-05-30,12.570899963378906,7406.52001953125,559.5900268554688,117.53299713134766,0.6058170199394226
2018-05-31,14.190199851989746,7494.169921875,577.64501953125,118.0739974975586,0.6126220226287842
2018-06-01,14.240799903869629,7541.4501953125,580.0430297851562,119.91500091552734,0.6233639717102051
2018-06-02,14.679699897766113,7643.4501953125,591.8079833984375,123.30699920654297,0.6434509754180908
2018-06-03,14.565999984741211,7720.25,618.3289794921875,125.5,0.6712049841880798
2018-06-04,14.261099815368652,7514.47021484375,592.9849853515625,119.90299987792969,0.661424994468689
2018-06-05,15.599300384521484,7633.759765625,609.302978515625,121.70099639892578,0.6770150065422058
2018-06-06,17.247499465942383,7653.97998046875,607.1240234375,121.18299865722656,0.674796998500824
2018-06-07,16.263099670410156,7678.240234375,605.18701171875,121.4260025024414,0.6781280040740967
2018-06-08,16.273799896240234,7624.919921875,601.0770263671875,120.08399963378906,0.6743429899215698
2018-06-09,15.963199615478516,7531.97998046875,597.56201171875,117.74099731445312,0.6597549915313721
2018-06-10,14.184200286865234,6786.02001953125,526.47900390625,107.04399871826172,0.588126003742218
2018-06-11,15.383500099182129,6906.919921875,533.2839965820312,107.51599884033203,0.604066014289856
2018-06-12,15.226200103759766,6582.35986328125,496.8429870605469,100.75199890136719,0.5629330277442932
2018-06-13,14.589099884033203,6349.89990234375,477.4939880371094,94.07559967041016,0.5346630215644836
2018-06-14,14.895299911499023,6675.35009765625,519.7420043945312,101.15399932861328,0.5613059997558594
2018-06-15,15.048100471496582,6456.580078125,491.0039978027344,96.6760025024414,0.5377069711685181
2018-06-16,15.809200286865234,6550.16015625,499.6419982910156,97.5770034790039,0.5347840189933777
2018-06-17,16.578800201416016,6499.27001953125,500.447998046875,96.10260009765625,0.5282160043716431
2018-06-18,16.87969970703125,6734.81982421875,518.8909912109375,98.81900024414062,0.5374950170516968
2018-06-19,16.699600219726562,6769.93994140625,537.9569702148438,98.83769989013672,0.5496209859848022
2018-06-20,16.061899185180664,6776.5498046875,536.2680053710938,97.99349975585938,0.5392860174179077
2018-06-21,17.053300857543945,6729.740234375,527.3670043945312,96.92549896240234,0.5347750186920166
2018-06-22,15.593899726867676,6083.68994140625,465.8169860839844,85.07589721679688,0.4869470000267029
2018-06-23,15.551199913024902,6162.47998046875,474.5199890136719,82.60369873046875,0.49128401279449463
2018-06-24,14.447600364685059,6173.22998046875,457.6719970703125,80.777099609375,0.47738000750541687
2018-06-25,14.920900344848633,6249.18017578125,460.30999755859375,81.8333969116211,0.48175299167633057
2018-06-26,14.119999885559082,6093.669921875,432.7720031738281,76.86669921875,0.45600101351737976
2018-06-27,14.050100326538086,6157.1298828125,442.364990234375,80.65969848632812,0.47036999464035034
2018-06-28,14.124600410461426,5903.43994140625,422.364990234375,74.92980194091797,0.4484579861164093
2018-06-29,14.508600234985352,6218.2998046875,436.0090026855469,78.7688980102539,0.4530799984931946
2018-06-30,14.657299995422363,6404.0,455.17999267578125,81.3740005493164,0.46624499559402466
2018-07-01,14.40410041809082,6385.81982421875,453.9179992675781,80.2428970336914,0.4613580107688904
