Date,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD
2018-04-01,14.657299995422363,6404.0,455.17999267578125,81.3740005493164,0.46624499559402466
2018-07-01,10.017800331115723,6625.56005859375,232.84800720214844,61.14189910888672,0.5815719962120056
2018-10-01,6.164731979370117,3742.700439453125,133.36825561523438,30.468223571777344,0.3527059853076935
2019-01-01,17.401670455932617,4105.404296875,141.51409912109375,60.75539779663086,0.3092289865016937
2019-04-01,32.442481994628906,10817.1552734375,290.69598388671875,122.24911499023438,0.3964110016822815
2019-07-01,15.862674713134766,8293.8681640625,179.87220764160156,56.056907653808594,0.2559329867362976
2019-10-01,13.727642059326172,7193.59912109375,129.61085510253906,41.34007263183594,0.19289399683475494
2020-01-01,12.581605911254883,6438.64453125,133.59356689453125,39.299102783203125,0.17456300556659698
2020-04-01,15.413581848144531,9137.9931640625,226.31500244140625,41.46779251098633,0.17587000131607056
2020-07-01,29.290876388549805,10784.4912109375,359.9378662109375,46.3714599609375,0.241784006357193
2020-10-01,37.376033782958984,29001.720703125,737.8034057617188,124.69032287597656,0.2198459953069687
2021-01-01,302.0634460449219,58918.83203125,1918.362060546875,197.4990997314453,0.573868989944458
2021-04-01,303.2958679199219,35040.8359375,2274.547607421875,144.13583374023438,0.7063739895820618
2021-07-01,387.0573425292969,43790.89453125,3001.678955078125,153.1479949951172,0.9526360034942627
2021-10-01,511.70831298828125,46306.4453125,3682.6328125,146.51473999023438,0.8311629891395569
2022-01-01,428.9161071777344,45538.67578125,3281.642822265625,123.71601104736328,0.8145639896392822
2022-04-01,219.3000946044922,19784.7265625,1067.298828125,53.64842987060547,0.3314479887485504
2022-07-01,284.1922912597656,19431.7890625,1327.9786376953125,53.397037506103516,0.47977399826049805
2022-10-01,246.3491973876953,16547.49609375,1196.771240234375,69.9962158203125,0.3399290144443512
2023-01-01,317.0400085449219,28478.484375,1822.0220947265625,89.68412780761719,0.5384920239448547
2023-04-01,321.95269775390625,28680.537109375,1870.789306640625,88.29579162597656,0.4649510085582733
