,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-13,13.11870002746582,8723.9404296875,733.4959716796875,144.58799743652344,0.745747983455658,13.11870002746582,8723.9404296875,733.4959716796875,144.58799743652344,0.745747983455658,13.553999900817871,8773.5498046875,741.31201171875,147.24600219726562,0.7589769959449768,12.743000030517578,8395.1201171875,675.3189697265625,137.65499877929688,0.6809710264205933,13.008000373840332,8515.490234375,687.1749877929688,141.79800415039062,0.6980850100517273,70816496,5866379776,2362500096,383224000,532488000
2018-05-14,12.870699882507324,8716.7900390625,730.5490112304688,147.71400451660156,0.7408980131149292,12.870699882507324,8716.7900390625,730.5490112304688,147.71400451660156,0.7408980131149292,13.165300369262695,8881.1201171875,742.1699829101562,152.15499877929688,0.7569829821586609,12.356399536132812,8367.9697265625,695.7919921875,136.07200622558594,0.7076929807662964,13.158300399780273,8713.099609375,732.7329711914062,144.62399291992188,0.7447010278701782,49317700,7364149760,3005110016,584222016,613462016
2018-05-15,12.56779956817627,8510.3798828125,708.8709716796875,139.8800048828125,0.6985880136489868,12.56779956817627,8510.3798828125,708.8709716796875,139.8800048828125,0.6985880136489868,13.272299766540527,8836.1904296875,739.052001953125,149.38299560546875,0.7522690296173096,12.514399528503418,8456.4501953125,700.9949951171875,138.57000732421875,0.6926670074462891,12.853899955749512,8705.1904296875,731.1430053710938,147.48800659179688,0.7389379739761353,45696200,6705710080,2523069952,415984992,422980000
2018-05-16,12.260499954223633,8368.830078125,707.0499877929688,139.26800537109375,0.7140809893608093,12.260499954223633,8368.830078125,707.0499877929688,139.26800537109375,0.7140809893608093,12.567399978637695,8508.4296875,710.2000122070312,140.6510009765625,0.7140809893608093,11.95110034942627,8175.490234375,682.541015625,135.27699279785156,0.6694380044937134,12.558099746704102,8504.41015625,708.0869750976562,139.64999389648438,0.6959199905395508,35233200,6760220160,2476130048,351689984,429641984
2018-05-17,12.46500015258789,8094.31982421875,672.656982421875,132.7729949951172,0.6673099994659424,12.46500015258789,8094.31982421875,672.656982421875,132.7729949951172,0.6673099994659424,12.970999717712402,8445.5400390625,718.8330078125,141.16600036621094,0.7146180272102356,12.273599624633789,8054.1201171875,668.833984375,131.95199584960938,0.6612129807472229,12.315600395202637,8370.0498046875,708.718017578125,139.5590057373047,0.7133880257606506,54251500,5862530048,2350619904,320248992,337999008
2018-05-18,15.13539981842041,8250.9697265625,694.3670043945312,136.0570068359375,0.6802939772605896,15.13539981842041,8250.9697265625,694.3670043945312,136.0570068359375,0.6802939772605896,16.220500946044922,8274.1201171875,695.031005859375,137.05499267578125,0.6856250166893005,12.053099632263184,7974.81982421875,663.8090209960938,129.7030029296875,0.6533899903297424,12.36139965057373,8091.830078125,672.1019897460938,132.70399475097656,0.6654000282287598,243260992,5764190208,2305740032,371688000,344944000
2018-05-19,14.245699882507324,8247.1796875,696.530029296875,135.32000732421875,0.6767129898071289,14.245699882507324,8247.1796875,696.530029296875,135.32000732421875,0.6767129898071289,15.621000289916992,8372.0595703125,715.5780029296875,137.50100708007812,0.6904500126838684,13.993200302124023,8183.35009765625,686.791015625,133.87100219726562,0.6658959984779358,15.134599685668945,8255.73046875,695.072021484375,135.96499633789062,0.6807590126991272,138320992,4712399872,2021549952,310963008,249039008
2018-05-20,14.117799758911133,8513.25,715.3690185546875,139.697998046875,0.7002440094947815,14.117799758911133,8513.25,715.3690185546875,139.697998046875,0.7002440094947815,14.368900299072266,8562.41015625,723.7529907226562,140.31500244140625,0.704613983631134,13.68529987335205,8205.240234375,692.6690063476562,133.79400634765625,0.6733480095863342,14.350199699401855,8246.990234375,697.9229736328125,135.27200317382812,0.6772580146789551,95390200,5191059968,2156910080,324983008,275614016
2018-05-21,14.722299575805664,8418.990234375,699.2219848632812,134.50900268554688,0.6815869808197021,14.722299575805664,8418.990234375,699.2219848632812,134.50900268554688,0.6815869808197021,14.7878999710083,8557.51953125,719.2780151367188,139.6439971923828,0.703050971031189,13.816699981689453,8365.1201171875,692.4940185546875,133.9340057373047,0.6762030124664307,14.125399589538574,8522.330078125,717.1929931640625,139.6439971923828,0.7004410028457642,97367296,5154990080,2005170048,308376992,250480992
2018-05-22,13.92549991607666,8041.77978515625,647.7410278320312,128.67599487304688,0.645566999912262,13.92549991607666,8041.77978515625,647.7410278320312,128.67599487304688,0.645566999912262,14.835100173950195,8423.25,700.9760131835938,135.60499572753906,0.68293297290802,13.749199867248535,8004.580078125,644.0260009765625,128.33200073242188,0.6445879936218262,14.570899963378906,8419.8701171875,700.177978515625,134.25999450683594,0.6821510195732117,86545104,5137010176,2230469888,294447008,234712992
